"Category1","Annual_Income","Age","Purchased","Transaction_Date"
"Segment_3",64.27,25,"Yes",2023-06-08
"Segment_4",50.67,67,"Yes",2023-07-29
"Segment_2",49.76,18,"No",2023-08-11
"Segment_3",64.21,44,"No",2023-02-22
"Segment_2",68.16,68,"Yes",2023-09-11
"Segment_3",103.68,38,"Yes",2023-12-26
"Segment_3",57.01,53,"No",2023-01-30
"Segment_1",55.81,23,"No",2023-10-25
"Segment_5",66.2,23,"Yes",2023-03-21
"Segment_4",50.26,62,"Yes",2023-09-22
"Segment_4",73.85,54,"No",2023-03-20
"Segment_5",40.64,31,"No",2023-02-25
"Segment_3",62.1,36,"No",2023-09-07
"Segment_2",30.95,55,"No",2023-10-25
"Segment_4",68.5,26,"No",2023-12-07
"Segment_5",56.64,57,"No",2023-12-14
"Segment_2",83.06,42,"Yes",2023-07-14
"Segment_3",43.98,27,"No",2023-02-12
"Segment_3",41.87,46,"Yes",2023-04-12
"Segment_1",79.94,25,"No",2023-12-05
"Segment_3",61.81,37,"Yes",2023-04-28
"Segment_2",33.64,43,"Yes",2023-06-24
"Segment_3",70.55,69,"No",2023-03-05
"Segment_3",47.57,21,"No",2023-05-26
"Segment_1",66.04,62,"Yes",2023-06-16
"Segment_2",75.73,60,"No",2023-04-02
"Segment_2",59.59,61,"No",2023-11-16
"Segment_2",69,69,"Yes",2023-09-10
"Segment_4",84.12,39,"No",2023-05-05
"Segment_1",51.29,70,"No",2023-12-13
"Segment_5",46.75,67,"Yes",2023-03-03
"Segment_5",69.24,27,"Yes",2023-06-30
"Segment_3",62.73,19,"Yes",2023-06-21
"Segment_3",63.28,67,"No",2023-06-18
"Segment_5",66.45,37,"Yes",2023-12-01
"Segment_1",63.19,27,"Yes",2023-09-11
"Segment_4",67.96,42,"Yes",2023-06-05
"Segment_2",41.6,63,"No",2023-07-16
"Segment_5",66.53,44,"Yes",2023-07-09
"Segment_4",89.59,60,"No",2023-09-15
"Segment_5",59.87,22,"Yes",2023-04-18
"Segment_1",53.74,68,"Yes",2023-02-06
"Segment_2",68,52,"No",2023-12-24
"Segment_3",79.29,55,"No",2023-07-09
"Segment_1",59.36,59,"No",2023-05-16
"Segment_1",67.97,47,"Yes",2023-08-18
"Segment_3",53.17,22,"No",2023-07-03
"Segment_2",50.16,62,"No",2023-04-23
"Segment_4",52.9,61,"No",2023-03-10
"Segment_5",79.98,38,"No",2023-09-20
"Segment_3",83.18,58,"No",2023-02-25
"Segment_4",43.02,53,"No",2023-04-06
"Segment_5",62.79,40,"No",2023-05-12
"Segment_3",66.64,34,"No",2023-09-04
"Segment_1",38.74,20,"No",2023-02-08
"Segment_5",63.77,37,"No",2023-03-06
"Segment_2",53.68,28,"No",2023-05-06
"Segment_4",32.99,24,"Yes",2023-04-10
"Segment_2",70.85,68,"No",2023-08-05
"Segment_1",52.1,39,"No",2023-07-25
"Segment_5",37.49,38,"No",2023-01-07
"Segment_2",91.91,64,"Yes",2023-02-20
"Segment_5",72.04,45,"No",2023-03-27
"Segment_1",77.56,41,"No",2023-01-15
"Segment_1",62.25,40,"Yes",2023-09-26
"Segment_2",24,25,"Yes",2023-09-29
"Segment_4",50.34,42,"No",2023-02-12
"Segment_2",37.98,23,"Yes",2023-06-18
"Segment_1",52.77,65,"No",2023-05-16
"Segment_1",64.14,23,"No",2023-10-26
"Segment_1",67.93,48,"Yes",2023-03-25
"Segment_4",61.05,38,"No",2023-08-20
"Segment_1",38.59,50,"No",2023-03-29
"Segment_3",68.69,22,"No",2023-07-25
"Segment_2",48.59,32,"No",2023-01-05
"Segment_1",28.4,31,"No",2023-09-10
"Segment_1",39.06,42,"No",2023-06-12
"Segment_5",71.87,33,"No",2023-08-04
"Segment_5",64.35,68,"No",2023-08-20
"Segment_4",48.17,46,"Yes",2023-09-15
"Segment_4",3.97,19,"No",2023-01-08
"Segment_4",69.01,27,"Yes",2023-12-30
"Segment_5",68.51,38,"No",2023-04-02
"Segment_4",57.24,57,"Yes",2023-07-14
"Segment_1",48.68,48,"No",2023-02-17
"Segment_3",38.64,31,"Yes",2023-04-12
"Segment_5",51.37,48,"No",2023-06-06
"Segment_4",54.4,39,"No",2023-10-24
"Segment_2",45.98,29,"No",2023-02-24
"Segment_1",44.13,34,"Yes",2023-12-04
"Segment_4",76.01,30,"Yes",2023-07-18
"Segment_1",52.1,38,"Yes",2023-07-16
"Segment_3",65.16,56,"Yes",2023-09-11
"Segment_1",63.89,39,"No",2023-01-26
"Segment_3",66.59,60,"Yes",2023-06-21
"Segment_3",52.63,68,"No",2023-04-30
"Segment_2",68.6,27,"No",2023-10-27
"Segment_3",62.15,23,"No",2023-01-01
"Segment_4",78.06,39,"Yes",2023-07-16
"Segment_2",62.15,30,"No",2023-07-13
"Segment_1",49.42,29,"No",2023-02-06
"Segment_5",84.4,21,"No",2023-11-27
"Segment_3",55.88,67,"Yes",2023-04-17
"Segment_4",62.78,41,"Yes",2023-11-30
"Segment_5",84.29,49,"No",2023-07-09
"Segment_5",64.71,40,"No",2023-02-23
"Segment_4",70.34,32,"No",2023-05-23
"Segment_1",23.67,48,"No",2023-10-10
"Segment_1",41.57,21,"No",2023-03-31
"Segment_4",44.89,29,"No",2023-11-25
"Segment_3",64.02,18,"Yes",2023-11-17
"Segment_5",69.48,44,"Yes",2023-11-11
"Segment_2",39.06,70,"Yes",2023-02-13
"Segment_1",72.11,57,"No",2023-10-19
"Segment_4",111.83,19,"No",2023-10-14
"Segment_4",75.38,67,"No",2023-04-09
"Segment_4",46.5,64,"Yes",2023-11-14
"Segment_3",42.04,36,"Yes",2023-12-18
"Segment_2",50.44,22,"No",2023-03-26
"Segment_2",83.92,28,"Yes",2023-01-06
"Segment_3",58.26,41,"No",2023-03-16
"Segment_5",55.16,31,"No",2023-09-13
"Segment_4",76.09,20,"No",2023-09-23
"Segment_3",85.8,56,"Yes",2023-06-04
"Segment_3",48.59,70,"No",2023-07-16
"Segment_1",64.4,63,"Yes",2023-08-10
"Segment_5",50.87,39,"No",2023-12-10
"Segment_5",45.13,33,"No",2023-12-17
"Segment_1",75.51,63,"No",2023-03-13
"Segment_1",55.13,41,"No",2023-09-28
"Segment_1",69.03,66,"Yes",2023-05-23
"Segment_5",45.15,58,"No",2023-11-04
"Segment_5",63.82,64,"No",2023-06-14
"Segment_4",28.11,29,"Yes",2023-07-23
"Segment_2",43.15,25,"No",2023-04-19
"Segment_2",75.18,64,"No",2023-01-19
"Segment_4",49.96,36,"No",2023-05-14
"Segment_2",59.07,20,"Yes",2023-08-17
"Segment_1",42.45,44,"Yes",2023-12-14
"Segment_3",35.5,26,"No",2023-06-12
"Segment_5",56.76,43,"No",2023-06-20
"Segment_3",67.66,34,"Yes",2023-10-16
"Segment_1",45.35,65,"No",2023-05-07
"Segment_2",62.04,37,"No",2023-03-11
"Segment_4",83.17,18,"No",2023-04-13
"Segment_4",56.81,45,"Yes",2023-12-03
"Segment_1",58.67,18,"Yes",2023-08-27
"Segment_5",58.57,66,"No",2023-02-25
"Segment_1",62.95,31,"Yes",2023-02-06
"Segment_4",69.32,37,"Yes",2023-08-03
"Segment_3",50.3,50,"Yes",2023-06-08
"Segment_4",70.84,34,"No",2023-10-12
"Segment_5",48.35,56,"No",2023-07-04
"Segment_5",62.27,30,"No",2023-08-21
"Segment_4",70.89,65,"Yes",2023-04-06
"Segment_3",43.19,65,"No",2023-03-18
"Segment_3",64.27,39,"No",2023-08-07
"Segment_2",65.53,27,"No",2023-07-24
"Segment_5",57.01,70,"No",2023-04-17
"Segment_5",52.84,44,"Yes",2023-11-05
"Segment_1",49.37,32,"No",2023-12-05
"Segment_3",78.6,21,"Yes",2023-06-25
"Segment_2",41.53,48,"No",2023-10-16
"Segment_3",67.87,25,"No",2023-01-06
"Segment_4",58.18,44,"No",2023-08-27
"Segment_2",41.89,36,"No",2023-04-15
"Segment_5",47.08,51,"Yes",2023-08-08
"Segment_3",45.94,68,"No",2023-11-05
"Segment_3",66.77,30,"No",2023-05-28
"Segment_2",55.86,65,"No",2023-04-04
"Segment_2",78.08,48,"Yes",2023-02-28
"Segment_4",59.76,68,"No",2023-05-29
"Segment_2",52.39,64,"No",2023-10-20
"Segment_1",51.91,29,"Yes",2023-11-13
"Segment_4",46.81,28,"Yes",2023-04-07
"Segment_1",59.07,19,"No",2023-03-23
"Segment_5",47.4,65,"No",2023-07-23
"Segment_2",59.2,41,"No",2023-08-29
"Segment_5",66.14,62,"No",2023-04-08
"Segment_2",33.12,70,"No",2023-10-04
"Segment_2",53.4,30,"Yes",2023-04-21
"Segment_3",64.67,47,"Yes",2023-10-19
"Segment_2",59.56,23,"Yes",2023-06-04
"Segment_3",41.84,52,"No",2023-12-20
"Segment_3",66.05,57,"Yes",2023-02-24
"Segment_1",59.51,39,"No",2023-08-14
